,aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
48,,샘터마을2,1996,,,,43000,15,1,2022,중개거래,경기 고양덕양구,59.56,2,983,N,,41281,,행신동
49,,소만마을3단지(늘푸른아파트),1996,,,,39500,13,1,2022,중개거래,경기 고양덕양구,51.03,7,799,N,,41281,,행신동
50,,삼송2차아이파크,2015,,,,84000,25,1,2022,중개거래,경기 고양덕양구,74.988,18,311,N,,41281,,삼송동
51,,달빛마을4단지,1995,,,,74000,17,1,2022,중개거래,경기 고양덕양구,133.89,18,868,N,,41281,,화정동
52,,햇빛마을주공20,1997,,,,37500,14,1,2022,중개거래,경기 고양덕양구,49.97,14,934,N,,41281,,행신동
53,,샘터마을2,1996,,,,43000,8,1,2022,중개거래,경기 고양덕양구,59.98,8,983,N,,41281,,행신동
54,,삼림(561-1),1987,,,,31350,19,1,2022,중개거래,경기 고양덕양구,47.49,2,561-1,N,,41281,,주교동
55,,푸른마을5단지,2007,,22.02.09,O,40000,25,1,2022,중개거래,경기 고양덕양구,84.8265,12,730,N,,41281,,고양동
56,,햇빛주공23,1996,,,,43000,13,1,2022,중개거래,경기 고양덕양구,59.93,14,953,N,,41281,,행신동
57,,장미아파트(나동),1991,,,,37500,23,1,2022,중개거래,경기 고양덕양구,79.06,12,644-1,N,,41281,,행신동
58,,햇빛마을주공20,1997,,,,39000,15,1,2022,중개거래,경기 고양덕양구,59.97,1,934,N,,41281,,행신동
59,,지축역센트럴푸르지오,2019,,,,88000,22,1,2022,중개거래,경기 고양덕양구,84.8637,29,904,N,,41281,,지축동
60,,삼송2차원흥역동원로얄듀크비스타,2020,,,,80000,20,1,2022,중개거래,경기 고양덕양구,84.9867,31,635,N,,41281,,원흥동
61,,청보APT,1995,,,,33850,15,1,2022,중개거래,경기 고양덕양구,99,1,880-12,N,,41281,,토당동
62,,옥빛마을(주공)15,1997,,,,54000,8,1,2022,중개거래,경기 고양덕양구,59.97,12,1127,N,,41281,,화정동
63,,지축역센트럴푸르지오,2019,,22.07.11,O,123000,15,1,2022,중개거래,경기 고양덕양구,84.9621,11,904,N,,41281,,지축동
64,,행신동문,1998,,,,36500,14,1,2022,중개거래,경기 고양덕양구,58.9875,9,220,N,,41281,,행신동
65,,윤창APT,1997,,,,22500,14,1,2022,중개거래,경기 고양덕양구,84.96,1,414-1,N,,41281,,고양동
66,,지축역한림풀에버,2020,,,,90000,12,1,2022,중개거래,경기 고양덕양구,84.968,4,848,N,,41281,,지축동
67,,소만마을(삼신),1994,,,,39500,13,1,2022,중개거래,경기 고양덕양구,50.73,6,788,N,,41281,,행신동
68,,샘터마을2,1996,,,,47000,4,1,2022,중개거래,경기 고양덕양구,59.98,14,983,N,,41281,,행신동
69,,새서울,1983,,,,15500,11,1,2022,직거래,,42.84,3,178-57,N,,41281,,관산동
70,,DMC호반베르디움더포레4단지,2019,,,,109000,18,1,2022,중개거래,경기 고양덕양구 서울 송파구,84.8984,13,552,N,,41281,,향동동
71,,능곡현대홈타운2,2002,,,,68250,15,1,2022,중개거래,경기 고양덕양구,84.45,23,53-44,N,,41281,,토당동
72,,DMC중흥S-클래스더센트럴,2020,,,,76000,5,1,2022,중개거래,경기 고양덕양구,59.9234,20,501,N,,41281,,향동동
73,,신원당(동신7),1992,,,,65000,2,1,2022,중개거래,경기 고양덕양구,101.73,11,727,N,,41281,,성사동
74,,소만마을(대명)7,1995,,,,48500,14,1,2022,중개거래,경기 고양덕양구,59.04,9,783,N,,41281,,행신동
75,,달빛(라이프)2,1996,,,,42800,5,1,2022,중개거래,경기 고양덕양구,59.97,9,851,N,,41281,,화정동
76,,푸른마을10단지,2009,,,,37500,13,1,2022,직거래,,84.8767,9,1121,N,,41281,,고양동
77,,화성그린빌,1998,,,,25000,10,1,2022,중개거래,경기 고양덕양구,59.952,10,103,N,,41281,,고양동
78,,DMC호반베르디움더포레3단지,2019,,,,95000,4,1,2022,직거래,,84.8984,16,557,N,,41281,,향동동
